ticket_id,subject,description,customer_id,created_at,status,priority
ZD-014,"Onboarding Confusing","The onboarding process is confusing. New team members can't figure it out without help. Needs to be more intuitive.","acc_011","2024-05-22T12:00:00Z","open","medium"
ZD-015,"Onboarding Too Long","Onboarding took us 4 hours. Almost gave up. Too many steps and unclear instructions. This needs to be simplified.","acc_012","2024-05-30T14:00:00Z","open","high"
ZD-016,"API Documentation Outdated","The API documentation is from 2023 and doesn't match current endpoints. We're building integrations and this is blocking us.","acc_012","2024-06-05T09:00:00Z","open","high"
ZD-017,"API Docs Need Update","API documentation is outdated. Hard to build integrations when the docs don't match reality. Please update ASAP.","acc_013","2024-06-18T14:00:00Z","open","high"
ZD-018,"API Documentation Wrong","API docs are completely wrong. Lost a deal to CompetitorZ because they have better documentation. This is blocking enterprise deals.","acc_014","2024-06-25T10:00:00Z","open","critical"
ZD-019,"UI Too Cluttered","The interface is cluttered. Hard to find features. Consider a redesign to make it more intuitive.","acc_014","2025-07-10T11:00:00Z","open","low"
ZD-019A,"Export Still Broken July","Export feature still not working in July. This is blocking Q3 reporting. Very urgent.","acc_015","2025-07-05T09:00:00Z","open","critical"
ZD-019B,"Performance Issues July","Dashboard performance degraded in July. Loading times increased significantly.","acc_016","2025-07-12T10:00:00Z","open","high"
ZD-020,"Export Feature Broken - Critical","Export feature not working. The CSV export button crashes the app. This is blocking our monthly reporting. Very urgent.","acc_015","2025-07-25T16:00:00Z","open","critical"
ZD-020A,"Dashboard Performance Q3","Dashboard is still too slow in Q3. This is affecting our Q3 reporting. Need faster performance.","acc_026","2025-07-15T09:00:00Z","open","high"
ZD-020B,"Mobile App Issues July","Mobile app has multiple issues this month. Crashes and navigation problems.","acc_027","2025-07-20T14:00:00Z","open","high"
ZD-020C,"AI Features Request July","We need AI automation features. CompetitorX has this and we're evaluating them.","acc_028","2025-07-18T11:00:00Z","open","high"
ZD-020D,"Analytics Improvements July","Analytics need major improvements. CompetitorY has better reporting capabilities.","acc_029","2025-07-22T14:00:00Z","open","medium"
ZD-021,"Mobile App iOS Crashes","Mobile app crashes on iOS 17. App crashes immediately after launch on iOS 17.1. Works on older versions.","acc_016","2025-08-12T10:30:00Z","open","high"
ZD-022,"iOS App Crashes","Mobile app completely broken on iOS 17. Our entire team uses iOS. This is blocking us. Please fix urgently.","acc_017","2025-08-20T14:00:00Z","open","critical"
ZD-023,"AI Automation Feature Request","We need AI-powered automation features. CompetitorX has this and we're considering switching. This would save us 10 hours per week.","acc_017","2025-08-28T14:00:00Z","open","high"
ZD-023A,"Performance Issues August","Performance has degraded in August. Dashboard loading times increased.","acc_028","2025-08-05T10:00:00Z","open","high"
ZD-023B,"Integration Requests August","Need more integrations. CompetitorY has better integration options.","acc_029","2025-08-18T11:00:00Z","open","medium"
ZD-023C,"Mobile iOS Crashes August","Mobile app crashes on iOS 17 continue in August. This is blocking our team.","acc_030","2025-08-08T09:00:00Z","open","critical"
ZD-023D,"AI Automation Critical August","AI automation is critical. CompetitorX has this and we're losing deals.","acc_031","2025-08-15T10:00:00Z","open","high"
ZD-023E,"Security Features August","Need enhanced security features. SOC 2 compliance is important for Q3.","acc_032","2025-08-22T11:00:00Z","open","high"
ZD-024,"AI Features Missing","AI automation is critical. CompetitorX has this and we're losing deals. This feature would close 3 deals worth $450K.","acc_018","2025-09-05T09:00:00Z","open","critical"
ZD-025,"Advanced Analytics Missing","Need advanced analytics and reporting. CompetitorY has better analytics. This is a must-have for our team.","acc_018","2025-09-15T09:30:00Z","open","high"
ZD-026,"Analytics Not Good Enough","Analytics are basic. CompetitorY has much better reporting. This is a deal breaker for enterprise customers.","acc_019","2025-09-22T11:00:00Z","open","high"
ZD-027,"Multi-language Support Needed","We need multi-language support for our international team. Currently only English is supported. This is limiting our growth.","acc_019","2025-09-30T11:00:00Z","open","medium"
ZD-027A,"Security Features September","Need enhanced security features. SOC 2 compliance is important for Q3.","acc_030","2025-09-10T09:00:00Z","open","high"
ZD-027B,"Reporting Improvements Q3","Reporting features need improvement. CompetitorZ has better reporting.","acc_031","2025-09-25T15:00:00Z","open","medium"
ZD-027C,"AI Features Missing September","AI automation missing. CompetitorX has this and we're considering switching.","acc_033","2025-09-12T09:00:00Z","open","critical"
ZD-027D,"Advanced Analytics September","Advanced analytics needed. CompetitorY has much better reporting.","acc_034","2025-09-18T10:00:00Z","open","high"
ZD-027E,"Integration Needs September","Need more integrations. CompetitorY has better integration ecosystem.","acc_035","2025-09-28T14:00:00Z","open","medium"
ZD-028,"Localization Missing","Multi-language support is needed for global expansion. Without this, we can't serve international customers.","acc_020","2025-10-10T13:00:00Z","open","medium"
ZD-029,"Real-time Collaboration","Need real-time collaboration features. Multiple users should be able to work simultaneously. This is critical for our workflow.","acc_020","2025-10-18T13:00:00Z","open","high"
ZD-030,"Collaboration Features Missing","Real-time collaboration is a deal breaker. Multiple users need to work together. CompetitorZ has this.","acc_021","2025-10-25T15:00:00Z","open","critical"
ZD-031,"Custom Workflows Request","We need custom workflow automation. Our processes are unique and we need flexibility. CompetitorZ offers this.","acc_021","2025-11-05T10:00:00Z","open","medium"
ZD-032,"Workflow Customization Needed","Custom workflows are essential. Our processes are unique. Without this, we can't fully utilize the product.","acc_022","2025-11-15T12:00:00Z","open","high"
ZD-033,"Data Backup Concerns","Concerned about data backup and recovery. Need better backup options. Lost data last month and it was a disaster.","acc_022","2025-11-20T15:00:00Z","open","high"
ZD-034,"Backup Issues","Data backup is unreliable. Lost critical data last month. This is a major concern for enterprise customers.","acc_023","2025-11-28T10:00:00Z","open","critical"
ZD-035,"Security Compliance","Need SOC 2 compliance documentation. Enterprise requirement. Without this, we can't proceed with the deal.","acc_023","2025-12-10T09:00:00Z","open","critical"
ZD-036,"Compliance Documentation Missing","SOC 2 compliance is required for enterprise. This is blocking multiple deals worth $500K+ ARR.","acc_024","2025-12-15T11:00:00Z","open","critical"
ZD-037,"SSO Integration Missing","Single Sign-On integration is missing. This is a deal breaker for our enterprise. CompetitorX has SSO.","acc_024","2025-12-22T14:00:00Z","open","critical"
ZD-038,"SSO Critical for Enterprise","SSO is mandatory for enterprise. Lost deal to CompetitorX because they have SSO. This is blocking $250K ARR.","acc_025","2025-12-28T16:00:00Z","open","critical"
